time,energy,error
0.0,5000.000000000405,1.638024408008133E-19
0.1,4999.592950757456,0.1656890858559838
0.2,4992.118115948189,62.12409620618675
0.3,4968.498854660249,992.3221577161173
0.4,4969.236710689836,946.379969180826
0.5,4973.686187014673,692.4167538267574
0.5,4933.052997566769,4481.90113479508
0.6,4956.496606582714,1892.5452388191745
0.7,4946.34283027052,2879.091863378257
0.8,4970.562411450626,866.5716196022167
0.9,4934.680540243617,4266.6318228657865
1.0,4954.8650386883455,2037.1647326045465
1.1,4966.67008995077,1110.882903889791
1.2,4922.090206477099,6069.935926781075
1.3,4939.6103897970725,3646.9050204615305
1.4,4953.860541638664,2128.849617877499
1.5,4941.786290823962,3388.835936032309
1.6,4937.762306472448,3873.5304956295427
1.7,4937.875945752456,3859.3981161518313
1.8,4944.416038882674,3089.5767334924085
1.9,4944.655419272311,3063.0226159237277
2.0,4931.27762578644,4722.764717548606
2.1,4943.8875879833495,3148.602782326346
2.2,4934.556539802425,4282.846482631636
2.3,4945.9162796343435,2925.0488085905295
2.5,4941.118654988894,3467.012790316853
2.6,4928.977199141777,5044.2382417467425
2.7,4946.414529043397,2871.4026976409305
2.8,4929.277155103249,5001.720790289864
2.9,4949.002253234346,2600.7701751737295
3.0,4938.698423692084,3757.883257835204
3.1,4930.859888137521,4780.355068356108
3.2,4944.818208967839,3045.0300615170418
3.3,4937.598232401081,3893.9805994694875
3.4,4957.845552091715,1776.9974784523106
3.5,4957.1075856278885,1839.7592106689162
3.6,4919.039837830034,6554.547858587157
3.7,4931.213972398469,4731.517593198558
3.8,4944.986998016738,3026.430387210417
3.9,4933.376662705858,4438.669072209066
4.0,4932.735749414218,4524.4794068668825
4.1,4923.1350561831005,5908.2195879751225
4.2,4926.092372841065,5462.337352264102
4.3,4947.261220973371,2781.378813219639
4.4,4943.708081174817,3168.7801250209495
4.5,4924.127618802628,5756.618228559375
4.6,4939.612481787244,3646.652355895916
4.7,4931.217112633701,4731.085594445015
4.8,4940.854114104921,3498.235818313719
4.9,4926.774712562261,5361.942720339512
4.9,4932.835926976189,4511.01270514787
5.0,4938.380412524381,3796.9735606654094
5.1,4965.361579815914,1199.820152849268
5.2,4943.307093076895,3214.0856953918014
5.3,4933.39813080149,4435.808980735439
5.4,4930.483280637177,4832.574270969503
5.5,4931.961206189907,4629.277463132351
5.6,4939.447314704668,3666.627696475478
5.7,4918.836226938189,6587.558057629205
5.8,4928.680225853192,5086.510184351761
5.9,4927.415536996131,5268.504269560047
6.0,4940.58894104953,3529.6739256162036
6.1,4941.370705156734,3437.39421381857
6.2,4954.5013147710715,2070.1303575611146
6.3,4946.737235674599,2836.922063583198
6.4,4930.396777615394,4844.60856632091
6.5,4924.473939860999,5704.185760119988
6.6,4928.395540949378,5127.19855593216
6.7,4941.5934698347055,3411.322765949456
6.8,4946.327933494066,2880.6907230173806
6.9,4923.759905839443,5812.551957610662
7.0,4927.582429691321,5244.304489412522
7.1,4926.897587377836,5343.962731181076
7.2,4953.020845799707,2207.040929374919
7.3,4910.533220845549,8004.304572271255
7.4,4940.131088986513,3584.28650594087
7.5,4921.610763848361,6144.872344437446
7.6,4946.972113981916,2811.9566955469345
7.7,4908.436532927344,8383.86850236533
7.8,4941.7094471956325,3397.7885462387567
7.9,4929.461459928148,4975.685635468322
8.0,4913.671663663139,7452.581654690188
8.1,4928.204731957983,5154.560513225023
8.2,4931.203437114784,4732.967064819506
8.3,4931.679154105519,4667.737983737415
8.4,4939.216909130774,3694.584135616563
8.5,4925.640782626408,5529.293208413166
8.6,4917.734283777432,6767.648065612053
8.7,4929.374092429448,4988.01882016416
8.8,4916.241327909017,7015.515150444824
8.9,4907.110736497956,8628.415273952132
9.0,4917.99193780131,6725.322265584194
9.1,4932.57080108415,4546.696866433275
9.2,4931.769629017316,4655.3835244346565
9.3,4921.059668846453,6231.5758826316705
9.5,4908.910501374968,8297.296759759765
9.6,4919.304963592815,6511.688900756977
9.7,4921.052701782984,6232.675895766521
9.8,4909.2372179187805,8237.882611122937
9.9,4907.612394978791,8535.469561554979
10.0,4923.518188124236,5849.467547799743
10.1,4937.726669742283,3877.967661386708
10.2,4937.273892308478,3934.5645861284124
10.3,4937.391905222663,3919.7735316480253
10.4,4918.002612474729,6723.571560969439
10.5,4910.68258542097,7977.600547082303
10.6,4915.443619056757,7149.7815582188805
10.7,4941.13961968536,3464.5443707840327
10.8,4948.465698996159,2655.784179954528
10.9,4947.164839679034,2791.5541661421557
11.0,4912.949468819357,7577.794978832063
11.1,4918.653206573354,6617.300800797482
11.2,4951.501543244718,2352.1003076439533
11.3,4930.958961090385,4766.66505371898
11.4,4910.234012317302,8057.932544650347
11.5,4919.647908991221,6456.458529483119
11.6,4934.427191954307,4299.793154997289
11.7,4943.146081266711,3232.368075331429
11.8,4942.5280624426705,3303.0236065935824
11.9,4902.744004222905,9458.728714594408
12.0,4911.866914774196,7767.440711418881
12.1,4930.22089209984,4869.123899342164
12.2,4932.383816184662,4571.948313749636
12.3,4928.076112966057,5173.045526071419
12.4,4943.092975511412,3238.4094361447455
12.5,4938.367606306733,3798.551952361827
12.6,4947.893156498681,2715.1231396709936
12.7,4923.911215802313,5789.503080682236
12.8,4932.4056342685335,4568.998278639252
12.9,4938.724327701049,3754.7080156883903
13.0,4936.099608461945,4083.2600387167786
13.1,4916.692367691198,6940.161600898494
13.2,4936.478852968921,4034.9361201439215
13.3,4925.555691531254,5541.955063389864
13.4,4924.436190394211,5709.889322139957
13.5,4934.444442435455,4297.531127598356
13.6,4931.272352113866,4723.489583960424
13.7,4924.488513716388,5701.984560760078
13.8,4912.282725991686,7694.3201594496795
13.9,4900.981430346405,9804.67713624376
14.0,4929.585426736674,4958.212127856307
14.1,4918.147838492337,6699.776343476608
14.2,4923.321884153369,5879.533449789371
14.3,4920.269395917869,6356.969227301576
14.4,4931.554221952669,4684.824532504534
14.5,4923.769703655409,5811.058080784148
14.6,4912.701834069445,7620.969774838733
14.7,4917.801577780559,6756.580615365567
14.8,4929.070400160027,5031.008133458695
14.9,4917.3983971871185,6823.024787257039
15.0,4948.8785248493305,2613.405221580523
15.1,4912.3765257424475,7677.873240963969
15.2,4924.050150837216,5768.379587849599
15.3,4909.911267428028,8115.97973642434
15.4,4936.419976434513,4042.4193965878762
15.5,4941.37764229564,3436.5808228179576
15.6,4906.016082432334,8832.976761365864
15.7,4916.204761189251,7021.642047350412
15.8,4918.842687017168,6586.509450593365
15.9,4940.302292776308,3563.8162477656842
16.0,4937.622814337414,3890.9132911847582
16.1,4950.536654706644,2446.622527609745
16.2,4925.414665288276,5562.97215405984
16.3,4915.262741727208,7180.402939589879
16.4,4932.87356782138,4505.957897030902
16.5,4903.6280931581605,9287.544428332194
16.6,4945.480557242065,2972.369638635794
16.7,4932.127265358081,4606.708107772368
16.8,4931.149430074058,4740.400979127054
16.9,4944.20020671282,3113.616930892059
17.0,4932.801206911936,4515.6777924924545
17.1,4926.868770859187,5348.176675646104
17.2,4926.5481721825545,5395.171009723664
17.3,4922.142183794949,6061.839544219466
17.4,4918.824709234626,6589.427830842945
17.5,4970.589627648404,864.9700018595447
17.6,4931.462047040806,4697.450995836651
17.7,4924.947408142875,5632.891544472149
17.8,4949.769481283909,2523.105010487564
17.9,4950.759136613859,2424.6626270126435
18.0,4926.845111959192,5351.6376442631745
18.1,4936.4308985298385,4041.0306617236906
18.2,4939.4850192207405,3662.0628987141504
18.3,4943.734954723743,3165.7553199392837
18.4,4955.134892236313,2012.8778946472355
18.5,4952.489270695888,2257.269399008599
18.6,4949.492501380758,2551.007416772747
18.7,4940.968506830102,3484.717185867674
18.8,4940.810288418729,3503.421957074021
18.9,4910.658586871272,7981.888099838081
19.0,4950.531579977184,2447.1245795537166
19.1,4952.2504148671,2280.022880364102
19.2,4942.217714082648,3338.7925658346217
