time,particle_in_left
0.0,558
0.9,558
1.9,558
3.0,558
4.0,559
5.0,558
5.9,559
6.9,559
7.9,559
8.9,559
9.9,559
10.9,559
11.9,558
12.9,558
13.9,558
14.9,557
15.9,558
16.9,558
17.9,558
18.9,558
19.9,558
20.9,558
21.9,558
22.9,557
23.9,557
24.9,555
25.9,554
26.9,554
27.9,554
28.9,554
29.9,554
30.9,554
31.9,554
32.9,553
34.0,553
35.0,555
36.0,555
37.0,554
38.0,553
39.0,552
40.0,553
41.0,553
42.0,553
43.0,553
44.0,551
45.0,551
46.0,551
47.0,551
48.0,551
49.0,551
50.0,551
51.0,552
52.0,554
53.0,554
54.0,554
55.0,552
56.0,552
57.0,551
58.0,551
59.0,551
60.0,551
61.0,551
62.0,551
63.0,551
64.0,551
65.0,550
66.0,550
67.0,550
68.0,551
69.0,551
70.0,551
